cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
Remove Trap,4,51482758,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-060
Reaper of the Cards,1,33066139,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-071
One-Eyed Shield Dragon,3,33064647,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN087
Dragon Capture Jar,2,50045299,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-045
Tripwire Beast,1,45042329,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN104
Giant Soldier of Stone,1,13039848,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN068
Succubus Knight,1,55291359,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN117
Dark Hole,1,53129443,Super Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN052
Monster Egg,1,36121917,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-017
Forest,2,87430998,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-046
Dark Gray,1,9159938,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN011
Enchanting Mermaid,1,75376965,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-084
Drooling Lizard,1,16353197,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN115
Meda Bat,2,76211194,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-083
Sparks,2,76103675,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-055
Flame Ghost,1,58528964,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN029
Dissolverock,3,40826495,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN031
Goblin's Secret Remedy,1,11868825,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-099
Wasteland,1,23424603,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN047
Masaki the Legendary Swordsman,1,44287299,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN038
Mountain,3,50913601,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-048
Aqua Madoor,1,85639257,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-027
Flower Wolf,1,95952802,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN107
Dark King of the Abyss,1,53375573,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN020
Dragoness the Wicked Knight,1,70681994,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-086
Gaia the Dragon Champion,1,66889139,Secret Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN125
Blue-Winged Crown,3,41396436,Common,M,1st Edition,Metal Raiders,MRD-EN122
Ring of Magnetism,2,20436034,Common,M,1st Edition,Metal Raiders,MRD-EN139
Soul Release,1,5758500,Common,M,1st Edition,Metal Raiders,MRD-EN058
Crawling Dragon,2,67494157,Common,M,1st Edition,Metal Raiders,MRD-012
Ryu-Kishin Powered,6,24611934,Common,M,1st Edition,Metal Raiders,MRD-EN092
Rainbow Flower,2,21347810,Common,M,1st Edition,Metal Raiders,MRD-042
The Cheerful Coffin,2,41142615,Common,M,1st Edition,Metal Raiders,MRD-059
Disk Magician,3,76446915,Common,M,1st Edition,Metal Raiders,MRD-053
Witch of the Black Forest,1,78010363,Rare,M,1st Edition,Metal Raiders,MRD-EN116
Punished Eagle,2,74703140,Common,M,1st Edition,Metal Raiders,MRD-EN100
Share the Pain,2,56830749,Common,M,1st Edition,Metal Raiders,MRD-EN140
Niwatori,4,7805359,Common,M,1st Edition,Metal Raiders,MRD-EN112
Ancient Brain,2,42431843,Common,M,1st Edition,Metal Raiders,MRD-082
Tongyo,2,69572024,Common,M,1st Edition,Metal Raiders,MRD-EN045
Pumpking the King of Ghosts,4,29155212,Common,M,1st Edition,Metal Raiders,MRD-EN079
Feral Imp,3,41392891,Common,M,1st Edition,Metal Raiders,MRD-EN001
Hoshiningen,2,67629977,Rare,M,1st Edition,Metal Raiders,MRD-EN102
Illusionist Faceless Mage,3,28546905,Common,M,1st Edition,Metal Raiders,MRD-068
Rabid Horseman,1,94905343,Common,M,1st Edition,Metal Raiders,MRD-077
Labyrinth Tank,1,99551425,Common,M,1st Edition,Metal Raiders,MRD-091
Doma The Angel of Silence,2,16972957,Common,M,1st Edition,Metal Raiders,MRD-EN015
Lava Battleguard,2,20394040,Common,M,1st Edition,Metal Raiders,MRD-EN115
"Winged Dragon, Guardian of the Fortress #1",1,87796900,Common,M,1st Edition,Metal Raiders,MRD-002
Giltia the D. Knight,4,51828629,Common,M,1st Edition,Metal Raiders,MRD-EN094
Star Boy,1,8201910,Rare,M,1st Edition,Metal Raiders,MRD-EN109
Thousand Dragon,1,41462083,Secret Rare,M,1st Edition,Metal Raiders,MRD-143
Jinzo #7,1,32809211,Common,M,1st Edition,Metal Raiders,MRD-035
Trent,3,78780140,Common,M,1st Edition,Metal Raiders,MRD-052
Guardian of the Labyrinth,5,89272878,Common,M,1st Edition,Metal Raiders,MRD-EN083
Swamp Battleguard,2,40453765,Common,M,1st Edition,Metal Raiders,MRD-EN063
Blackland Fire Dragon,1,87564352,Common,M,1st Edition,Metal Raiders,MRD-062
Deepsea Shark,3,28593363,Common,M,1st Edition,Metal Raiders,MRD-EN038
Muka Muka,2,46657337,Rare,M,1st Edition,Metal Raiders,MRD-EN107
Harpie Lady Sisters,2,12206212,Super Rare,M,1st Edition,Metal Raiders,MRD-009
Jirai Gumo,4,94773007,Common,M,1st Edition,Metal Raiders,MRD-089
Musician King,2,56907389,Common,M,1st Edition,Metal Raiders,MRD-103
Water Omotics,4,2483611,Common,M,1st Edition,Metal Raiders,MRD-021
Tremendous Fire,5,46918794,Common,M,1st Edition,Metal Raiders,MRD-EN088
Launcher Spider,1,87322377,Common,M,1st Edition,Metal Raiders,MRD-095
Insect Soldiers of the Sky,3,7019529,Common,M,1st Edition,Metal Raiders,MRD-EN101
Bladefly,1,28470714,Rare,M,1st Edition,Metal Raiders,MRD-118
The Bistro Butcher,4,71107816,Common,M,1st Edition,Metal Raiders,MRD-108
Flame Cerebrus,1,60862676,Common,M,1st Edition,Metal Raiders,MRD-EN111
Armored Zombie,1,20277860,Common,M,1st Edition,Metal Raiders,MRD-EN013
Cocoon of Evolution,3,40240595,Common,M,1st Edition,Metal Raiders,MRD-011
Witch's Apprentice,1,80741828,Rare,M,1st Edition,Metal Raiders,MRD-121
Hibikime,3,64501875,Common,M,1st Edition,Metal Raiders,MRD-EN055
Bottom Dweller,2,81386177,Common,M,1st Edition,Metal Raiders,MRD-039
Shadow Ghoul,2,30778711,Rare,M,1st Edition,Metal Raiders,MRD-EN090
Dream Clown,1,13215230,Common,M,1st Edition,Metal Raiders,MRD-080
Mystic Lamp,3,98049915,Common,M,1st Edition,Metal Raiders,MRD-028
Kojikocy,1,1184620,Common,M,1st Edition,Metal Raiders,MRD-EN010
Stim-Pack,1,83225447,Common,M,1st Edition,Metal Raiders,MRD-EN141
Mystic Horseman,2,68516705,Common,M,1st Edition,Metal Raiders,MRD-EN076
Shield & Sword,2,52097679,Rare,M,1st Edition,Metal Raiders,MRD-EN131
Suijin,1,98434877,Super Rare,M,1st Edition,Metal Raiders,MRD-EN027
King of Yamimakai,2,69455834,Common,M,1st Edition,Metal Raiders,MRD-074
Morinphen,2,55784832,Common,M,1st Edition,Metal Raiders,MRD-EN043
Prevent Rat,2,549481,Common,M,1st Edition,Metal Raiders,MRD-084
Magician of Faith,1,31560081,Rare,M,1st Edition,Metal Raiders,MRD-036
Paralyzing Potion,1,50152549,Common,M,1st Edition,Metal Raiders,MRD-EN137
Ooguchi,3,58861941,Common,M,1st Edition,Metal Raiders,MRD-EN032
Bickuribox,1,25655502,Common,M,1st Edition,Metal Raiders,MRD-093
Giga-Tech Wolf,3,8471389,Common,M,1st Edition,Metal Raiders,MRD-EN096
Armored Lizard,3,15480588,Common,M,1st Edition,Metal Raiders,MRD-EN005
Cannon Soldier,1,11384280,Rare,M,1st Edition,Metal Raiders,MRD-EN106
Heavy Storm,1,19613556,Super Rare,M,1st Edition,Metal Raiders,MRD-EN142
Pale Beast,3,21263083,Common,M,1st Edition,Metal Raiders,MRD-047
Ground Attacker Bugroth,2,58314394,Common,M,1st Edition,Metal Raiders,MRD-EN022
7 Colored Fish,1,23771716,Common,M,1st Edition,Metal Raiders,MRD-EN098
Big Eye,1,16768387,Common,M,1st Edition,Metal Raiders,MRD-EN017
Little Chimera,2,68658728,Rare,M,1st Edition,Metal Raiders,MRD-EN117
Protector of the Throne,1,10071456,Common,M,1st Edition,Metal Raiders,MRD-EN087
Crass Clown,1,93889755,Common,M,1st Edition,Metal Raiders,MRD-078
Mushroom Man #2,1,93900406,Common,M,1st Edition,Metal Raiders,MRD-114
Destroyer Golem,2,73481154,Common,M,1st Edition,Metal Raiders,MRD-EN040
Ancient Elf,2,93221206,Common,M,1st Edition,Metal Raiders,MRD-037
Sword of Deep-Seated,1,98495314,Common,M,1st Edition,Metal Raiders,MRD-EN132
Tainted Wisdom,2,28725004,Common,M,1st Edition,Metal Raiders,MRD-EN081
Killer Needle,2,88979991,Common,M,1st Edition,Metal Raiders,MRD-006
Baby Dragon,1,88819587,Common,M,1st Edition,Metal Raiders,MRD-061
Fake Trap,1,3027001,Rare,M,1st Edition,Metal Raiders,MRD-EN056
Petit Moth,3,58192742,Common,M,1st Edition,Metal Raiders,MRD-023
Dragon Piper,1,55763552,Common,M,1st Edition,Metal Raiders,MRD-EN067
Battle Steer,2,18246479,Common,M,1st Edition,Metal Raiders,MRD-EN064
Princess of Tsurugi,1,51371017,Rare,M,1st Edition,Metal Raiders,MRD-086
Skull Knight,2,2504891,Common,M,1st Edition,Metal Raiders,MRD-EN123
Rock Ogre Grotto #1,1,68846917,Common,M,1st Edition,Metal Raiders,MRD-004
Empress Judge,2,15237615,Common,M,1st Edition,Metal Raiders,MRD-EN046
Leghul,1,12472242,Common,M,1st Edition,Metal Raiders,MRD-EN031
Ocubeam,2,86088138,Common,M,1st Edition,Metal Raiders,MRD-EN030
The Unhappy Maiden,1,51275027,Common,M,1st Edition,Metal Raiders,MRD-134
Masked Sorcerer,1,10189126,Rare,M,1st Edition,Metal Raiders,MRD-EN019
Larvae Moth,2,87756343,Common,M,1st Edition,Metal Raiders,MRD-007
The Immortal of Thunder,1,84926738,Common,M,1st Edition,Metal Raiders,MRD-EN099
Block Attack,2,25880422,Common,M,1st Edition,Metal Raiders,MRD-133
Electric Lizard,1,55875323,Common,M,1st Edition,Metal Raiders,MRD-048
Saggi the Dark Clown,3,66602787,Common,M,1st Edition,Metal Raiders,MRD-066
Blast Juggler,1,70138455,Common,M,1st Edition,Metal Raiders,MRD-034
Mask of Darkness,2,28933734,Rare,M,1st Edition,Metal Raiders,MRD-EN014
Yado Karu,2,29380133,Common,M,1st Edition,Metal Raiders,MRD-EN104
Harpie Lady,2,76812113,Common,M,1st Edition,Metal Raiders,MRD-008
White Magical Hat,2,15150365,Rare,M,1st Edition,Metal Raiders,MRD-EN016
Thunder Dragon,1,31786629,Common,M,1st Edition,Metal Raiders,MRD-097
Magic Jammer,1,77414722,Ultra Rare,M,1st Edition,Metal Raiders,MRD-EN128
Castle of Dark Illusions,1,62121,Common,M,1st Edition,Metal Raiders,MRD-073
Kaminari Attack,1,9653271,Common,M,1st Edition,Metal Raiders,MRD-EN041
Change of Heart,1,4031928,Ultra Rare,M,1st Edition,Metal Raiders,MRD-EN060
Gazelle the King of Mythical Beasts,1,5818798,Common,M,1st Edition,Metal Raiders,MRD-124
Cyber Saurus,1,89112729,Common,M,1st Edition,Metal Raiders,MRD-EN105
Hyosube,1,2118022,Common,M,1st Edition,Metal Raiders,MRD-EN054
Great Moth,1,14141448,Rare,M,1st Edition,Metal Raiders,MRD-070
Queen's Double,1,5901497,Common,M,1st Edition,Metal Raiders,MRD-EN051
Leogun,1,10538007,Common,M,1st Edition,Metal Raiders,MRD-033
Jellyfish,1,14851496,Common,M,1st Edition,Metal Raiders,MRD-EN072
Ceremonial Bell,1,20228463,Common,M,1st Edition,Spell Ruler,SRL-092
Fire Kraken,3,46534755,Common,M,1st Edition,Spell Ruler,SRL-EN014
Dark Zebra,2,59784896,Common,M,1st Edition,Spell Ruler,SRL-084
Rising Air Current,3,45778932,Common,M,1st Edition,Spell Ruler,SRL-099
Hungry Burger,6,30243636,Common,M,1st Edition,Spell Ruler,SRL-EN068
Eatgaboon,3,42578427,Common,M,1st Edition,Spell Ruler,SRL-065
Guardian of the Throne Room,3,47879985,Common,M,1st Edition,Spell Ruler,SRL-EN013
Horn of Light,3,38552107,Common,M,1st Edition,Spell Ruler,SRL-EN004
Ameba,1,95174353,Rare,M,1st Edition,Spell Ruler,SRL-EN010
Kotodama,3,19406822,Common,M,1st Edition,Spell Ruler,SRL-095
Darkness Approaches,6,80168720,Common,M,1st Edition,Spell Ruler,SRL-EN040
Octoberser,3,74637266,Common,M,1st Edition,Spell Ruler,SRL-052
Hamburger Recipe,6,80811661,Common,M,1st Edition,Spell Ruler,SRL-EN063
Queen Bird,2,73081602,Common,M,1st Edition,Spell Ruler,SRL-009
Commencement Dance,6,43417563,Common,M,1st Edition,Spell Ruler,SRL-062
Weather Report,2,72053645,Common,M,1st Edition,Spell Ruler,SRL-020
Hyozanryu,3,62397231,Rare,M,1st Edition,Spell Ruler,SRL-EN075
Luminous Spark,4,81777047,Common,M,1st Edition,Spell Ruler,SRL-EN100
Gaia Power,7,56594520,Common,M,1st Edition,Spell Ruler,SRL-096
Final Destiny,4,18591904,Common,M,1st Edition,Spell Ruler,SRL-035
Boar Soldier,3,21340051,Common,M,1st Edition,Spell Ruler,SRL-EN089
Tailor of the Fickle,3,43641473,Common,M,1st Edition,Spell Ruler,SRL-042
Whiptail Crow,2,91996584,Common,M,1st Edition,Spell Ruler,SRL-EN027
Cyber Jar,3,34124316,Rare,M,1st Edition,Spell Ruler,SRL-077
Messenger of Peace,3,44656491,Super Rare,M,1st Edition,Spell Ruler,SRL-EN102
Mechanical Snail,5,34442949,Common,M,1st Edition,Spell Ruler,SRL-EN021
House of Adhesive Tape,2,15083728,Common,M,1st Edition,Spell Ruler,SRL-064
Stone Ogre Grotto,3,15023985,Common,M,1st Edition,Spell Ruler,SRL-058
Ryu-Ran,3,2964201,Common,M,1st Edition,Spell Ruler,SRL-070
Curse of Fiend,4,12470447,Common,M,1st Edition,Spell Ruler,SRL-032
Giant Germ,2,95178994,Rare,M,1st Edition,Spell Ruler,SRL-EN085
Chorus of Sanctuary,5,81380218,Common,M,1st Edition,Spell Ruler,SRL-037
Flash Assailant,7,96890582,Common,M,1st Edition,Spell Ruler,SRL-082
Umiiruka,1,82999629,Common,M,1st Edition,Spell Ruler,SRL-EN097
Sonic Bird,3,57617178,Common,M,1st Edition,Spell Ruler,SRL-EN093
Eternal Rest,3,95051344,Common,M,1st Edition,Spell Ruler,SRL-060
Nimble Momonga,1,22567609,Rare,M,1st Edition,Spell Ruler,SRL-EN086
Peacock,4,20624263,Common,M,1st Edition,Spell Ruler,SRL-EN011
Griggle,4,95744531,Common,M,1st Edition,Spell Ruler,SRL-EN016
Spear Cretin,2,58551308,Common,M,1st Edition,Spell Ruler,SRL-087
Mystic Plasma Zone,4,18161786,Common,M,1st Edition,Spell Ruler,SRL-101
Giant Rat,2,97017120,Rare,M,1st Edition,Spell Ruler,SRL-EN079
Relinquished,1,64631466,Ultra Rare,M,1st Edition,Spell Ruler,SRL-EN029
Psychic Kappa,3,7892180,Common,M,1st Edition,Spell Ruler,SRL-053
Performance of Sword,3,4849037,Common,M,1st Edition,Spell Ruler,SRL-EN067
Fairy's Hand Mirror,3,17653779,Common,M,1st Edition,Spell Ruler,SRL-041
Slot Machine,4,3797883,Common,M,1st Edition,Spell Ruler,SRL-028
Manga Ryu-Ran,2,38369349,Rare,M,1st Edition,Spell Ruler,SRL-071
Electric Snake,3,11324436,Common,M,1st Edition,Spell Ruler,SRL-EN008
Crab Turtle,3,91782219,Common,M,1st Edition,Spell Ruler,SRL-069
Dark Witch,1,35565537,Common,M,1st Edition,Spell Ruler,SRL-019
High Tide Gyojin,4,54579801,Common,M,1st Edition,Spell Ruler,SRL-025
Wall Shadow,2,63162310,Common,M,1st Edition,Spell Ruler,SRL-056
Turtle Oath,2,76806714,Common,M,1st Edition,Spell Ruler,SRL-EN066
Magical Labyrinth,3,64389297,Common,M,1st Edition,Spell Ruler,SRL-EN059
Red Archery Girl,3,65570596,Common,M,1st Edition,Spell Ruler,SRL-030
Liquid Beast,4,93108297,Common,M,1st Edition,Spell Ruler,SRL-023
Malevolent Nuzzler,3,99597615,Common,M,1st Edition,Spell Ruler,SRL-EN005
Horn of the Unicorn,1,64047146,Rare,M,1st Edition,Spell Ruler,SRL-EN054
Mystic Tomato,1,83011277,Rare,M,1st Edition,Spell Ruler,SRL-094
Maha Vailo,2,93013676,Super Rare,M,1st Edition,Spell Ruler,SRL-012
Minar,3,32539892,Common,M,1st Edition,Spell Ruler,SRL-015
Senju of the Thousand Hands,1,23401839,Rare,M,1st Edition,Spell Ruler,SRL-EN080
Hiro's Shadow Scout,1,81863068,Rare,M,1st Edition,Spell Ruler,SRL-EN024
Metal Fish,4,55998462,Common,M,1st Edition,Spell Ruler,SRL-EN007
Shining Angel,2,95956346,Rare,M,1st Edition,Spell Ruler,SRL-EN088
Giant Turtle Who Feeds on Flames,1,96981563,Common,M,1st Edition,Spell Ruler,SRL-022
The Reliable Guardian,1,16430187,Common,M,1st Edition,Spell Ruler,SRL-044
Flying Kamakiri #1,2,84834865,Rare,M,1st Edition,Spell Ruler,SRL-EN091
Snake Fang,1,596051,Common,M,1st Edition,Spell Ruler,SRL-050
Labyrinth Wall,2,67284908,Common,M,1st Edition,Spell Ruler,SRL-EN055
UFO Turtle,1,60806437,Rare,M,1st Edition,Spell Ruler,SRL-081
Upstart Goblin,3,70368879,Common,M,1st Edition,Spell Ruler,SRL-EN033
Penguin Knight,1,36039163,Common,M,1st Edition,Spell Ruler,SRL-EN001
Molten Destruction,1,19384334,Common,M,1st Edition,Spell Ruler,SRL-098
Jigen Bakudan,1,90020065,Common,M,1st Edition,Spell Ruler,SRL-074
Axe of Despair,1,40619825,Ultra Rare,M,1st Edition,Spell Ruler,SRL-002
Gravekeeper's Servant,1,16762927,Common,M,1st Edition,Spell Ruler,SRL-031
Rush Recklessly,1,70046172,Rare,M,1st Edition,Spell Ruler,SRL-EN043
Infinite Dismissal,7,54109233,Common,M,1st Edition,Pharaoh's Servant,PSV-072
Enchanted Javelin,1,96355986,Common,M,1st Edition,Pharaoh's Servant,PSV-015
Science Soldier,4,67532912,Common,M,1st Edition,Pharaoh's Servant,PSV-EN097
Girochin Kuwagata,4,84620194,Common,M,1st Edition,Pharaoh's Servant,PSV-085
Gradius,5,10992251,Common,M,1st Edition,Pharaoh's Servant,PSV-089
Overdrive,4,2311603,Common,M,1st Edition,Pharaoh's Servant,PSV-060
Time Seal,3,35316708,Common,M,1st Edition,Pharaoh's Servant,PSV-007
Spikebot,5,87511987,Common,M,1st Edition,Pharaoh's Servant,PSV-081
Gravity Bind,3,85742772,Rare,M,1st Edition,Pharaoh's Servant,PSV-073
Earthshaker,5,60866277,Common,M,1st Edition,Pharaoh's Servant,PSV-EN014
4-Starred Ladybug of Doom,5,83994646,Common,M,1st Edition,Pharaoh's Servant,PSV-088
The Eye of Truth,3,34694160,Common,M,1st Edition,Pharaoh's Servant,PSV-010
Oni Tank T-34,5,66927994,Common,M,1st Edition,Pharaoh's Servant,PSV-059
DNA Surgery,3,74701381,Common,M,1st Edition,Pharaoh's Servant,PSV-EN026
Burning Land,4,24294108,Common,M,1st Edition,Pharaoh's Servant,PSV-EN061
Darkfire Soldier #2,1,78861134,Common,M,1st Edition,Pharaoh's Servant,PSV-045
Solomon's Lawbook,3,23471572,Common,M,1st Edition,Pharaoh's Servant,PSV-013
Mad Sword Beast,2,79870141,Rare,M,1st Edition,Pharaoh's Servant,PSV-EN091
Respect Play,7,8951260,Common,M,1st Edition,Pharaoh's Servant,PSV-032
The All-Seeing White Tiger,6,32269855,Common,M,1st Edition,Pharaoh's Servant,PSV-EN093
Souls of the Forgotten,2,4920010,Common,M,1st Edition,Pharaoh's Servant,PSV-098
Minor Goblin Official,3,1918087,Common,M,1st Edition,Pharaoh's Servant,PSV-EN052
Major Riot,2,9074847,Common,M,1st Edition,Pharaoh's Servant,PSV-029
Appropriate,3,48539234,Rare,M,1st Edition,Pharaoh's Servant,PSV-024
Cyber Falcon,3,30655537,Common,M,1st Edition,Pharaoh's Servant,PSV-047
